iter	Passed	Remaining
0	3	3451
1	6	3480
2	10	3507
3	14	3505
4	17	3509
5	21	3509
6	24	3511
7	28	3518
8	31	3516
9	35	3529
10	39	3528
11	42	3533
12	46	3527
13	50	3533
14	53	3520
15	57	3512
16	60	3508
17	64	3502
18	67	3498
19	71	3495
20	74	3487
21	78	3482
22	81	3482
23	85	3485
24	89	3480
25	92	3479
26	96	3477
27	100	3474
28	103	3469
29	107	3463
30	110	3464
31	114	3467
32	118	3462
33	121	3456
34	125	3451
35	128	3447
36	132	3444
37	135	3437
38	139	3432
39	142	3431
40	146	3428
41	150	3425
42	153	3420
43	157	3418
44	160	3414
45	164	3410
46	167	3404
47	171	3400
48	175	3398
49	178	3393
50	182	3389
51	185	3386
52	189	3383
53	192	3380
54	196	3376
55	200	3372
56	203	3371
57	207	3367
58	210	3361
59	214	3361
60	218	3357
61	221	3355
62	225	3351
63	228	3348
64	232	3344
65	236	3345
66	239	3341
67	243	3339
68	247	3333
69	250	3330
70	254	3326
71	257	3323
72	261	3318
73	264	3315
74	268	3311
75	272	3307
76	275	3304
77	279	3300
78	282	3298
79	286	3294
80	290	3291
81	293	3287
82	297	3284
83	300	3279
84	304	3276
85	307	3272
86	311	3268
87	315	3266
88	318	3263
89	322	3260
90	326	3256
91	329	3254
92	333	3250
93	337	3249
94	340	3247
95	344	3243
96	347	3239
97	351	3236
98	355	3233
99	359	3231
100	362	3227
101	366	3224
102	369	3220
103	373	3218
104	377	3215
105	380	3211
106	384	3207
107	387	3203
108	391	3200
109	395	3196
110	398	3192
111	402	3187
112	406	3189
113	410	3190
114	414	3188
115	418	3186
116	421	3183
117	425	3178
118	428	3175
119	432	3171
120	436	3168
121	439	3164
122	443	3159
123	446	3155
124	450	3153
125	453	3149
126	457	3145
127	461	3141
128	464	3138
129	468	3134
130	471	3130
131	475	3125
132	479	3122
133	482	3120
134	486	3116
135	489	3112
136	493	3108
137	497	3105
138	500	3102
139	504	3097
140	507	3093
141	511	3091
142	515	3088
143	518	3084
144	522	3079
145	525	3075
146	529	3071
147	532	3067
148	536	3063
149	539	3058
150	543	3055
151	547	3051
152	550	3047
153	554	3044
154	557	3041
155	561	3037
156	565	3034
157	568	3030
158	572	3026
159	575	3023
160	579	3018
161	582	3014
162	586	3011
163	589	3007
164	593	3003
165	597	2999
166	600	2995
167	604	2992
168	607	2988
169	611	2984
170	614	2981
171	618	2977
172	622	2974
173	625	2970
174	629	2966
175	632	2963
176	636	2959
177	640	2956
178	643	2952
179	647	2948
180	651	2945
181	654	2942
182	658	2938
183	661	2934
184	665	2930
185	668	2927
186	672	2923
187	675	2919
188	679	2916
189	683	2913
190	687	2909
191	690	2907
192	694	2904
193	698	2902
194	701	2897
195	705	2894
196	709	2891
197	712	2887
198	716	2884
199	720	2880
200	723	2877
201	727	2873
202	730	2869
203	734	2865
204	738	2862
205	741	2858
206	745	2855
207	748	2851
208	752	2847
209	756	2844
210	759	2840
211	763	2836
212	766	2833
213	770	2829
214	774	2826
215	777	2822
216	781	2819
217	784	2815
218	788	2812
219	792	2809
220	796	2807
221	799	2803
222	803	2799
223	807	2796
224	810	2793
225	814	2789
226	818	2786
227	821	2782
228	825	2778
229	828	2774
230	832	2771
231	836	2767
232	839	2764
233	843	2760
234	846	2756
235	850	2753
236	854	2749
237	857	2746
238	861	2742
239	865	2739
240	868	2735
241	872	2732
242	875	2728
243	879	2725
244	886	2732
245	890	2729
246	894	2726
247	897	2722
248	901	2719
249	905	2715
250	908	2712
251	912	2708
252	916	2705
253	919	2701
254	923	2697
255	927	2694
256	930	2690
257	934	2686
258	937	2683
259	941	2679
260	945	2676
261	948	2672
262	952	2669
263	956	2665
264	959	2662
265	963	2658
266	967	2655
267	970	2651
268	974	2648
269	978	2645
270	982	2641
271	985	2638
272	989	2635
273	993	2631
274	996	2627
275	1000	2624
276	1004	2621
277	1008	2618
278	1011	2614
279	1015	2611
280	1019	2607
281	1022	2604
282	1026	2600
283	1030	2597
284	1034	2594
285	1038	2591
286	1041	2588
287	1045	2585
288	1049	2582
289	1053	2578
290	1057	2575
291	1060	2571
292	1064	2568
293	1068	2565
294	1071	2561
295	1075	2558
296	1079	2554
297	1083	2551
298	1086	2547
299	1090	2544
300	1093	2540
301	1097	2537
302	1101	2533
303	1104	2529
304	1108	2525
305	1112	2522
306	1115	2518
307	1119	2515
308	1123	2511
309	1126	2508
310	1130	2504
311	1134	2501
312	1137	2497
313	1141	2493
314	1144	2489
315	1148	2486
316	1152	2482
317	1155	2478
318	1159	2474
319	1162	2471
320	1166	2467
321	1170	2463
322	1173	2459
323	1177	2456
324	1180	2452
325	1184	2448
326	1188	2445
327	1191	2441
328	1195	2438
329	1199	2434
330	1202	2430
331	1206	2427
332	1209	2423
333	1213	2419
334	1217	2416
335	1220	2412
336	1224	2409
337	1228	2405
338	1231	2401
339	1235	2398
340	1239	2394
341	1242	2391
342	1246	2387
343	1250	2383
344	1253	2380
345	1257	2376
346	1260	2372
347	1264	2369
348	1268	2365
349	1271	2362
350	1275	2358
351	1279	2354
352	1283	2351
353	1286	2347
354	1290	2344
355	1293	2340
356	1297	2337
357	1301	2333
358	1304	2329
359	1308	2326
360	1312	2322
361	1315	2318
362	1319	2315
363	1323	2311
364	1326	2308
365	1330	2304
366	1333	2300
367	1337	2297
368	1340	2292
369	1344	2289
370	1348	2285
371	1351	2281
372	1355	2278
373	1358	2274
374	1362	2270
375	1366	2267
376	1369	2263
377	1373	2260
378	1377	2256
379	1380	2252
380	1384	2249
381	1388	2245
382	1391	2241
383	1395	2238
384	1398	2234
385	1402	2230
386	1405	2226
387	1409	2223
388	1413	2219
389	1416	2215
390	1420	2212
391	1423	2208
392	1427	2204
393	1431	2201
394	1434	2197
395	1438	2193
396	1441	2190
397	1445	2186
398	1449	2183
399	1452	2179
400	1456	2175
401	1460	2172
402	1463	2168
403	1467	2165
404	1471	2161
405	1475	2158
406	1479	2155
407	1482	2151
408	1486	2147
409	1490	2144
410	1493	2140
411	1496	2136
412	1500	2132
413	1504	2129
414	1507	2125
415	1511	2121
416	1514	2118
417	1518	2114
418	1522	2111
419	1526	2107
420	1533	2108
421	1537	2105
422	1541	2102
423	1545	2099
424	1548	2095
425	1552	2092
426	1556	2088
427	1560	2084
428	1563	2081
429	1567	2077
430	1571	2074
431	1574	2070
432	1578	2066
433	1581	2062
434	1585	2059
435	1588	2055
436	1592	2051
437	1596	2048
438	1599	2044
439	1603	2040
440	1606	2036
441	1610	2033
442	1614	2029
443	1618	2026
444	1621	2022
445	1625	2019
446	1629	2015
447	1632	2011
448	1636	2008
449	1640	2004
450	1644	2001
451	1647	1997
452	1651	1993
453	1654	1990
454	1658	1986
455	1662	1983
456	1665	1979
457	1669	1975
458	1673	1971
459	1676	1968
460	1680	1964
461	1683	1960
462	1687	1957
463	1691	1953
464	1694	1950
465	1698	1946
466	1702	1942
467	1705	1939
468	1709	1935
469	1713	1931
470	1716	1927
471	1720	1924
472	1724	1920
473	1727	1917
474	1731	1913
475	1735	1910
476	1738	1906
477	1742	1902
478	1745	1898
479	1749	1895
480	1753	1891
481	1756	1888
482	1760	1884
483	1763	1880
